0TextId year verbs innerVerbs voir:perception regarder:perception sentir:perception apercevoir:perception vouloir:volition oser:volition compter:volition essayer:volition savoir:cognition trouver:cognition croire:cognition entendre:cognition attendre:cognition connaître:cognition devoir:moral falloir:moral espérer:moral valoir:moral refuser:moral accepter:moral engager:moral aimer:affect manquer:affect souffrir:affect craindre:affect
FRA01701_GautierT 1847 478 47 54 2 1 4 4 3 1 2 2 6 1 0 1 1 11 5 0 0 0 0 0 0 2 1 0
FRA00302_Aimard 1894 1947 193 140 9 6 4 18 19 1 4 18 27 19 7 14 13 7 9 3 4 0 1 0 1 5 2 6
FRA05201_Feuillet 1856 398 39 46 0 1 1 3 2 0 1 6 3 2 1 1 2 7 2 2 0 0 1 0 1 1 0 0
FRA03003_Ohnet 1894 647 52 62 2 3 0 2 2 3 2 6 6 2 1 2 2 4 10 2 1 0 0 0 2 1 0 0
FRA02203_Gouraud 1876 633 95 88 1 1 2 7 7 1 2 9 5 9 3 4 5 2 8 1 1 2 2 0 2 4 3 1
FRA03903_Stolz 1878 664 73 68 4 7 0 5 10 1 0 8 8 5 4 1 1 3 3 0 0 0 2 1 8 1 1 2
FRA04002_Verne 1898 672 80 76 0 2 3 9 9 4 0 10 4 6 3 4 7 9 6 0 3 1 0 1 0 2 0 0
FRA02302_Greville 1878 789 95 85 5 4 1 14 12 0 0 5 5 4 4 4 8 6 14 0 1 0 0 0 5 2 1 0
FRA02202_Gouraud 1867 662 85 73 4 5 2 10 4 2 2 9 6 5 5 1 5 3 6 1 1 1 1 2 0 1 0 0
FRA02601_Malot 1869 1016 125 143 2 3 5 11 4 1 3 14 11 5 8 6 5 9 15 1 0 1 0 0 1 1 1 2
FRA01201_Feval 1868 1981 195 258 11 6 3 18 4 2 2 30 16 14 5 11 17 12 8 3 2 0 1 4 5 1 1 1
FRA01501_France 1912 924 98 85 4 4 2 6 10 0 0 7 12 4 3 4 3 6 11 4 1 0 0 1 9 1 3 4
FRA05602_Lesueur 1904 2864 396 338 16 13 9 35 22 7 8 44 33 30 20 11 21 33 17 11 1 4 1 2 10 8 4 12
FRA01102_Dombre 1889 325 29 30 0 0 0 2 3 0 0 3 8 2 3 1 2 0 1 0 0 0 0 0 2 2 1 0
FRA07401_Leblanc 1910 1642 178 173 7 2 5 21 13 2 2 23 20 4 13 7 11 9 6 2 5 2 2 2 2 1 0 1
FRA07101_Blondel 1856 580 77 65 1 2 1 14 5 2 2 7 9 4 4 0 2 4 8 1 0 1 3 0 2 0 1 2
FRA05101_Eekhoud 1904 594 48 36 0 1 0 4 1 1 0 4 4 3 2 3 2 3 0 0 4 0 0 0 2 1 0 1
FRA04401_Barbusse 1916 1711 188 194 6 4 3 11 3 4 2 22 9 7 15 15 8 6 30 1 5 0 0 1 1 0 0 1
FRA06401_Chandeneux 1876 2193 264 239 13 7 7 27 16 2 4 31 16 20 16 8 11 12 21 2 0 1 4 2 7 4 2 3
FRA03002_Ohnet 1890 835 111 76 5 5 3 14 4 0 3 15 6 16 2 5 2 1 6 1 0 1 0 1 9 0 4 0
FRA04202_Rolland 1912 9507 1233 1039 90 75 34 147 76 6 21 122 78 54 99 42 65 54 59 5 12 7 8 3 51 28 27 14
FRA06901_Vignon 1879 1281 179 198 5 12 0 20 8 7 2 14 16 5 7 1 7 15 18 2 4 0 3 0 6 0 1 2
FRA03702_Sand 1867 1386 231 214 9 1 0 19 5 3 2 36 18 10 10 5 11 23 23 1 9 1 5 1 7 2 2 4
FRA00301_Aimard 1858 1251 97 103 5 1 4 9 14 3 1 12 7 3 1 8 6 11 2 0 0 0 1 0 1 4 0 2
FRA03101_Ponson 1852 989 122 103 2 4 3 24 5 1 2 12 10 6 7 7 4 7 4 3 0 4 1 1 5 1 0 3
FRA06201_Viel-Castel 1845 624 78 57 0 2 3 9 11 0 0 6 7 3 8 5 7 6 4 2 0 1 0 0 1 3 0 2
FRA01303_Flaubert 1862 1516 140 104 16 8 20 12 8 1 2 11 7 9 13 1 8 5 2 2 1 1 1 2 0 1 2 1
FRA03802_Stern 1846 988 107 99 4 6 6 6 11 1 1 10 12 8 4 3 7 7 5 2 0 0 0 0 1 0 4 1
